"Relative Time (Process)","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MIN","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MAX"
"3615.522769267","424.617","424.617","424.617"
"3630.523018143","435.136","435.136","435.136"
"3645.523387289","431.974","431.974","431.974"
"3660.523187736","426.96","426.96","426.96"
"3675.524411779","430.548","430.548","430.548"
"3690.523604078","431.792","431.792","431.792"
"3705.523928193","426.752","426.752","426.752"
"3720.524860503","431.216","431.216","431.216"
"3735.523386889","431.36","431.36","431.36"
"3750.523555627","431.007","431.007","431.007"
"3765.523467702","429.817","429.817","429.817"
"3780.523866289","429.043","429.043","429.043"
"3795.530641884","431.939","431.939","431.939"
"3810.523735653","427.491","427.491","427.491"
"3825.524104991","432.746","432.746","432.746"
"3840.522630211","431.441","431.441","431.441"
"3855.523146518","427.808","427.808","427.808"
"3870.522473488","436.509","436.509","436.509"
"3885.522550692","432.562","432.562","432.562"
"3900.523694156","429.01","429.01","429.01"
"3915.523107325","431.497","431.497","431.497"
"3930.523170829","431.333","431.333","431.333"
"3945.524112037","427.383","427.383","427.383"
"3960.524571258","431.398","431.398","431.398"
"3975.523417433","432.041","432.041","432.041"
"3990.523920318","433.938","433.938","433.938"
"4005.524168464","436.163","436.163","436.163"
"4020.522561495","430.835","430.835","430.835"
"4035.523088507","431.048","431.048","431.048"
"4050.523079963","426.774","426.774","426.774"
"4065.522907292","428.04","428.04","428.04"
"4080.523602693","430.583","430.583","430.583"
"4095.52365588","427.725","427.725","427.725"
"4110.52294747","426.282","426.282","426.282"
"4125.524252315","431.527","431.527","431.527"
"4140.523316313","425.239","425.239","425.239"
"4155.524459222","430.697","430.697","430.697"
"4170.525109461","431.393","431.393","431.393"
"4185.523283578","425.412","425.412","425.412"
"4200.523982898","438.781","438.781","438.781"
"4215.522454532","431.107","431.107","431.107"
"4230.523540635","428.456","428.456","428.456"
"4245.522840152","435.794","435.794","435.794"
"4260.523173332","429.938","429.938","429.938"
"4275.523663609","430.596","430.596","430.596"
"4290.523126701","431.265","431.265","431.265"
"4305.523049242","429.695","429.695","429.695"
"4320.522909862","429.156","429.156","429.156"
"4335.524911043","429.856","429.856","429.856"
"4350.524409018","433.014","433.014","433.014"
"4365.523699967","429.87","429.87","429.87"
"4380.523419153","424.597","424.597","424.597"
"4395.523498159","429.876","429.876","429.876"
"4410.523246461","431.907","431.907","431.907"
"4425.523287362","423.534","423.534","423.534"
"4440.523809216","428.448","428.448","428.448"
"4455.524387636","430.42","430.42","430.42"
"4470.52276035","422.127","422.127","422.127"
"4485.524528009","431.092","431.092","431.092"
"4500.524430249","431.47","431.47","431.47"
"4515.523686465","432.241","432.241","432.241"
"4530.523537065","431.375","431.375","431.375"
"4545.522474868","429.095","429.095","429.095"
"4560.522994744","430.992","430.992","430.992"
"4575.522858984","433.04","433.04","433.04"
"4590.52314224","428.172","428.172","428.172"
"4605.524919363","430.995","430.995","430.995"
"4620.523775417","426.979","426.979","426.979"
"4635.523133062","430.566","430.566","430.566"
"4650.523765098","430.656","430.656","430.656"
"4665.525465417","425.395","425.395","425.395"
"4680.523456881","433.485","433.485","433.485"
"4695.523393163","431.52","431.52","431.52"
"4710.523863146","425.86","425.86","425.86"
"4725.523894971","433.462","433.462","433.462"
"4740.524144534","430.429","430.429","430.429"
"4755.523033076","83.672","83.672","83.672"
"4770.523047736","80.089","80.089","80.089"
"4785.522451513","77.674","77.674","77.674"
"4800.523053462","75.896","75.896","75.896"
"4815.522585178","74.725","74.725","74.725"
"4830.522706238","73.48","73.48","73.48"
"4845.522626755","72.928","72.928","72.928"
"4860.522665063","70.81","70.81","70.81"
"4875.522609499","70.606","70.606","70.606"
"4890.522842609","70.298","70.298","70.298"
"4905.523007154","70.281","70.281","70.281"
"4920.523157616","70.539","70.539","70.539"
"4935.523185902","70.228","70.228","70.228"
"4950.523088807","70.132","70.132","70.132"
"4965.523435846","70.02","70.02","70.02"
"4980.523407613","70.175","70.175","70.175"
"4995.523654347","69.905","69.905","69.905"
"5010.52349915","69.979","69.979","69.979"
"5025.522806246","69.884","69.884","69.884"
"5040.522428643","69.961","69.961","69.961"
"5055.522266812","69.843","69.843","69.843"
"5070.523380241","69.907","69.907","69.907"
"5085.523204432","69.894","69.894","69.894"
"5100.523167244","69.777","69.777","69.777"
"5115.523020161","69.889","69.889","69.889"
"5130.522231428","69.794","69.794","69.794"
"5145.522724133","69.858","69.858","69.858"
"5160.523035765","69.748","69.748","69.748"
"5175.523044012","69.776","69.776","69.776"
"5190.523349464","69.78","69.78","69.78"
"5205.522579537","69.804","69.804","69.804"
"5220.522378633","69.741","69.741","69.741"
"5235.522976857","69.722","69.722","69.722"
"5250.523069756","69.707","69.707","69.707"
"5265.523318185","69.733","69.733","69.733"
"5280.522772885","69.686","69.686","69.686"
"5295.52205732","69.715","69.715","69.715"
"5310.522823411","69.728","69.728","69.728"
"5325.522918791","69.811","69.811","69.811"
"5340.523424893","69.72","69.72","69.72"
"5355.522435515","69.861","69.861","69.861"
"5370.523067366","69.827","69.827","69.827"
"5385.522446822","69.787","69.787","69.787"
"5400.52285507","69.811","69.811","69.811"
"5415.52350983","69.891","69.891","69.891"
"5430.52312078","69.768","69.768","69.768"
"5445.523416594","69.795","69.795","69.795"
"5460.523303013","69.764","69.764","69.764"
"5475.523528702","69.734","69.734","69.734"
"5490.523218951","69.728","69.728","69.728"
"5505.523383879","69.826","69.826","69.826"
"5520.523389304","69.771","69.771","69.771"
"5535.52326162","69.713","69.713","69.713"
"5550.522531755","69.742","69.742","69.742"
"5565.523050618","69.719","69.719","69.719"
"5580.523053698","69.777","69.777","69.777"
"5595.523319535","69.689","69.689","69.689"
"5610.522230325","69.676","69.676","69.676"
"5625.523522711","69.601","69.601","69.601"
"5640.523177983","69.655","69.655","69.655"
"5655.523609252","69.768","69.768","69.768"
"5670.522818829","69.625","69.625","69.625"
"5685.522848195","69.558","69.558","69.558"
"5700.523155177","69.661","69.661","69.661"
"5715.522631581","69.806","69.806","69.806"
"5730.523185157","69.736","69.736","69.736"
"5745.522579501","69.665","69.665","69.665"
"5760.522843537","69.682","69.682","69.682"
"5775.523349079","69.746","69.746","69.746"
"5790.523418184","69.734","69.734","69.734"
"5805.523053095","69.615","69.615","69.615"
"5820.523097594","69.699","69.699","69.699"
"5835.522572907","69.651","69.651","69.651"
"5850.523294005","69.757","69.757","69.757"
"5865.523253621","69.587","69.587","69.587"
"5880.523350264","69.622","69.622","69.622"
"5895.523485293","69.6","69.6","69.6"
"5910.52357732","69.566","69.566","69.566"
"5925.523307593","69.571","69.571","69.571"
"5940.522872115","69.591","69.591","69.591"
"5955.523083598","69.631","69.631","69.631"
"5970.523134235","69.786","69.786","69.786"
"5985.525722115","419.749","419.749","419.749"
"6000.523707598","414.262","414.262","414.262"
"6015.523030312","418.997","418.997","418.997"
"6030.523420559","424.269","424.269","424.269"
"6045.523192936","421.932","421.932","421.932"
"6060.523515753","421.102","421.102","421.102"
"6075.524778211","426.459","426.459","426.459"
"6090.522300092","425.472","425.472","425.472"
"6105.523328533","426.174","426.174","426.174"
"6120.523058026","429.026","429.026","429.026"
"6135.522725153","425.831","425.831","425.831"
"6150.523540473","427.072","427.072","427.072"
"6165.523221822","423.018","423.018","423.018"
"6180.523934949","425.265","425.265","425.265"
"6195.522501549","428.352","428.352","428.352"
"6210.524888053","423.432","423.432","423.432"
"6225.523380339","430.292","430.292","430.292"
"6240.523253114","429.919","429.919","429.919"
"6255.523397113","427.919","427.919","427.919"
"6270.524365171","429.317","429.317","429.317"
"6285.523666927","429.463","429.463","429.463"
"6300.52386068","421.734","421.734","421.734"
"6315.524391397","433.351","433.351","433.351"
"6330.522562621","429.703","429.703","429.703"
"6345.523144493","424.886","424.886","424.886"
"6360.523302857","432.648","432.648","432.648"
"6375.523124531","429.43","429.43","429.43"
"6390.522605176","426.062","426.062","426.062"
"6405.524222763","436.745","436.745","436.745"
"6420.524681719","430.866","430.866","430.866"
"6435.523002163","429.615","429.615","429.615"
"6450.523616255","435.197","435.197","435.197"
"6465.523450499","428.954","428.954","428.954"
"6480.523380077","429.865","429.865","429.865"
"6495.522876524","425.652","425.652","425.652"
"6510.52311339","430.232","430.232","430.232"
"6525.523545587","430.144","430.144","430.144"
"6540.523228292","426.819","426.819","426.819"
"6555.523083403","428.698","428.698","428.698"
"6570.523296679","429.476","429.476","429.476"
"6585.524088547","425.47","425.47","425.47"
"6600.523307878","433.563","433.563","433.563"
"6615.524132603","430.453","430.453","430.453"
"6630.54317936","426.478","426.478","426.478"
"6645.52307332","434.101","434.101","434.101"
"6660.524351219","430.757","430.757","430.757"
"6675.523555009","425.286","425.286","425.286"
"6690.523540202","431.639","431.639","431.639"
"6705.522578702","429.645","429.645","429.645"
"6720.523141876","428.343","428.343","428.343"
"6735.523398307","435.758","435.758","435.758"
"6750.525372274","427.943","427.943","427.943"
"6765.523233638","429.624","429.624","429.624"
"6780.524794469","428.111","428.111","428.111"
"6795.523141542","429.326","429.326","429.326"
"6810.523587217","430.352","430.352","430.352"
"6825.524148234","423.593","423.593","423.593"
"6840.523448971","427.993","427.993","427.993"
"6855.522917817","430.09","430.09","430.09"
"6870.524452974","422.752","422.752","422.752"
"6885.52271958","434.868","434.868","434.868"
"6900.52366658","430.615","430.615","430.615"
"6915.52323058","425.286","425.286","425.286"
"6930.523143592","430.82","430.82","430.82"
"6945.522617327","428.968","428.968","428.968"
"6960.523961413","425.106","425.106","425.106"
"6975.524141656","429.724","429.724","429.724"
"6990.524703994","430.564","430.564","430.564"
"7005.523284439","426.874","426.874","426.874"
"7020.525661874","434.7","434.7","434.7"
"7035.523399101","429.783","429.783","429.783"
"7050.523716769","431.914","431.914","431.914"
"7065.523201622","435.24","435.24","435.24"
"7080.524946481","428.882","428.882","428.882"
"7095.523441357","429.986","429.986","429.986"
"7110.52314452","425.613","425.613","425.613"
"7125.523357283","431.053","431.053","431.053"
"7140.523368106","430.936","430.936","430.936"
"7155.523418171","427.59","427.59","427.59"
"7170.522981784","431.331","431.331","431.331"
"7185.522622903","430.404","430.404","430.404"
"7200.522905415","425.405","425.405","425.405"
"7215.52340891","429.841","429.841","429.841"
"7230.523409984","431.158","431.158","431.158"
"7245.522599307","423.156","423.156","423.156"
