#{"t_start": 1738641857.8981974, "env_id": "None"}
r,l,t
-149.343894,48,5828.786311
-211.302482,68,5839.545385
-310.862725,100,5846.893593
-311.29555,100,5852.668773
-314.586426,100,5859.023619
-309.10039,100,5875.736363
-316.297463,100,5881.754141
-309.448488,100,5889.828573
-310.633555,100,5898.099392
-310.054291,100,5906.62478
-315.024177,100,5912.243426
-313.891516,100,5919.207299
-308.489916,100,5933.430421
-311.033479,100,5941.905263
-311.61367,100,5948.587854
-312.704726,100,5955.916607
-311.597804,100,5963.385051
-312.575175,100,5973.124567
-140.461629,45,5976.337532
-313.154706,100,5983.958644
-316.385649,100,5997.553768
-310.894609,100,6004.382476
-313.214406,100,6018.254345
-130.691978,42,6021.580278
-310.352264,100,6030.139359
-310.748411,100,6037.249079
-309.193376,100,6045.168435
-315.168706,100,6058.54015
-312.624198,100,6072.281411
-311.320976,100,6085.765038
-158.404833,51,6094.125412
-310.217126,100,6101.933121
-158.65373,51,6110.081433
-311.492514,100,6122.960108
-308.814608,100,6138.567433
-310.815116,100,6153.131804
-81.124439,26,6155.129591
-311.340236,100,6162.852504
-103.26967,33,6165.558036
-93.365525,30,6167.915997
-312.261758,100,6181.490337
-111.515793,36,6185.806946
-312.288598,100,6194.65264
-313.396908,100,6201.253927
-309.657151,100,6208.545671
-308.29309,100,6223.294483
-311.666982,100,6231.437381
-310.222912,100,6239.978957
-308.219598,100,6247.882132
-312.450743,100,6255.126357
-309.578982,100,6270.749324
-310.693187,100,6278.421352
-321.426064,100,6283.648598
-312.953942,100,6290.560101
-315.802158,100,6298.477504
-314.121577,100,6304.857616
-96.775965,31,6309.54263
-308.514105,100,6318.131138
-311.293024,100,6331.913032
-311.660061,100,6338.587852
-309.329039,100,6347.022145
-311.232216,100,6358.048095
-309.243838,100,6365.102414
-314.856447,100,6370.89088
-318.415373,100,6378.394037
-310.510037,100,6385.972834
-308.988635,100,6395.028865
-309.597979,100,6444.432736
-173.407904,56,6449.350484
-309.709874,100,6456.285257
-307.683831,100,6472.918451
-310.108852,100,6482.727325
-313.79277,100,6489.401547
-312.009457,100,6502.819113
-311.457829,100,6510.463741
-311.832264,100,6518.240099
-312.623997,100,6524.652576
-312.808426,100,6537.246606
-308.723238,100,6553.323358
-311.62443,100,6560.445409
-279.358382,91,6576.203584
-309.244502,100,6584.354896
-313.719823,100,6597.455406
-102.480033,33,6602.787308
-312.591243,100,6609.205243
-312.025324,100,6625.974192
-310.38867,100,6640.362381
-312.365008,100,6646.433733
-308.833511,100,6656.367022
-317.279792,100,6662.125493
-313.468231,100,6675.673153
-310.752553,100,6691.223232
-311.204289,100,6698.945218
-312.360671,100,6713.205266
-314.657001,100,6726.613062
-310.869416,100,6741.201537
-311.751576,100,6754.375579
-134.881231,43,6757.902457
-311.255067,100,6765.489568
-313.919725,100,6773.596791
-308.847499,100,6782.066267
-311.972755,100,6789.469511
-309.594473,100,6796.888961
-313.269547,100,6802.355556
-312.538724,100,6815.303931
-112.770763,36,6820.555232
-117.076066,37,6825.433429
-308.96497,100,6841.583986
-307.916595,100,6852.257204
-311.622159,100,6863.908861
-317.255853,100,6869.450267
-312.264008,100,6876.257365
-310.567388,100,6883.294124
-111.720955,36,6886.085924
-312.403335,100,6894.573181
-308.790102,100,6908.569115
-309.262881,100,6922.836655
-240.776011,78,6928.930924
-309.114645,100,6943.102643
-244.666265,79,6956.081298
-310.206593,100,6970.48627
-312.369957,100,6983.410657
-123.437248,39,6986.106296
-312.422043,100,6994.40876
-312.573467,100,7007.711608
-131.595651,42,7014.224127
-80.669668,26,7018.902702
-311.905,100,7025.536987
-172.694812,55,7029.294421
-312.890996,100,7038.935498
-311.916335,100,7044.531691
-312.285642,100,7053.146613
-312.956272,100,7059.932077
-309.954407,100,7073.287777
-313.891613,100,7080.93188
-310.281953,100,7096.017632
-311.756644,100,7103.062304
-311.593065,100,7108.899515
-310.428316,100,7115.524296
-311.874444,100,7130.910671
-311.14488,100,7140.407515
-312.600877,100,7147.977829
-308.577681,100,7156.079845
-83.999003,27,7160.385035
-310.034864,100,7167.18052
-310.671019,100,7173.558273
-167.136812,53,7177.285269
-316.946106,100,7183.142464
-317.898908,100,7196.962516
-315.745692,100,7203.958238
-142.778476,46,7207.696306
-317.714466,100,7213.224035
-313.814104,100,7219.522069
-311.977801,100,7225.384942
-311.462289,100,7240.680854
-313.568867,100,7247.705024
-311.019866,100,7259.681082
-311.755738,100,7266.915733
-158.230356,51,7270.919047
-312.407703,100,7278.070891
-311.466069,100,7285.043088
-309.839881,100,7293.679718
-311.252921,100,7300.943625
-308.78661,100,7315.128065
-310.218055,100,7322.839618
-311.919116,100,7329.881083
-309.933605,100,7337.475707
-311.027551,100,7353.165707
-312.040422,100,7359.59637
-312.91419,100,7365.978061
-311.15119,100,7375.795298
-312.150117,100,7383.660424
-313.265697,100,7389.832176
-311.89,100,7397.394559
-315.592993,100,7410.431963
-129.690199,42,7416.160898
-310.026728,100,7422.634072
-314.527345,100,7472.855471
-310.612975,100,7480.452539
-309.979264,100,7488.030453
-142.835215,46,7495.795052
-309.731404,100,7504.701116
-313.358958,100,7511.607385
-155.468779,50,7515.682993
-309.321763,100,7523.858929
-312.37189,100,7538.125425
-313.988577,100,7552.351805
-311.403186,100,7560.957633
-313.021287,100,7569.603912
-315.434334,100,7575.89631
-309.978916,100,7582.671228
-312.016132,100,7588.875627
-313.46041,100,7595.205971
-311.951004,100,7602.251438
-311.179333,100,7610.6432
-310.464429,100,7619.292736
-311.657617,100,7627.003483
-312.834028,100,7641.935729
-162.328898,52,7646.049123
-311.063515,100,7653.79065
-309.222002,100,7661.148252
-314.734273,100,7667.829716
-313.532579,100,7680.597245
-314.554206,100,7694.459785
-308.584347,100,7703.553377
-312.493601,100,7710.560419
-310.44572,100,7725.857255
-309.73578,100,7739.273197
-311.321824,100,7746.584585
-315.372051,100,7752.655869
-140.491133,45,7755.703727
-312.367424,100,7762.02519
-311.818476,100,7777.084566
-84.342037,27,7781.272658
-117.955114,38,7784.365291
-311.670178,100,7792.544558
-309.282629,100,7802.71089
-90.311872,29,7804.795405
-312.849545,100,7811.506993
-312.726674,100,7823.517528
-319.128121,100,7837.037924
-310.72878,100,7843.599616
-118.747483,38,7849.588648
-314.607567,100,7857.81342
-313.087977,100,7863.549755
-309.661982,100,7871.785031
-309.111464,100,7879.93842
-137.416839,44,7883.416703
-311.126319,100,7898.74289
-308.568493,100,7907.396592
-178.650243,57,7917.019389
-313.127163,100,7922.707272
-139.848862,45,7926.609383
-311.964269,100,7933.324462
-310.27296,100,7940.648996
-313.410361,100,7948.033726
-216.831115,70,7953.387228
-310.542888,100,7960.927223
-313.989972,100,7975.316537
-313.296525,100,7982.360204
-310.470274,100,7988.972457
-311.74472,100,8002.380282
-312.598382,100,8009.077745
-253.643968,82,8016.61699
-314.952778,100,8023.074562
-314.351173,100,8030.038731
-312.678391,100,8038.915092
-238.848575,77,8051.047892
-311.581363,100,8064.643619
-310.139685,100,8079.124601
-152.072864,49,8084.730344
-313.105969,100,8098.324641
-314.492903,100,8103.85367
-309.943192,100,8111.130935
-310.856262,100,8118.858173
-312.772435,100,8124.988285
-59.501253,19,8127.832024
-308.465713,100,8139.072297
-310.460266,100,8146.398539
-310.106237,100,8158.417257
-309.616637,100,8168.227756
-313.83739,100,8174.842607
-112.218932,36,8177.940143
-312.443517,100,8185.443025
-311.143264,100,8200.696939
-314.0857,100,8206.484499
-312.211544,100,8216.568549
-314.749201,100,8230.166669
-311.184864,100,8237.083426
-307.575542,100,8244.916309
-311.323685,100,8259.300887
-310.821331,100,8266.703728
-316.056494,100,8274.810611
-311.736669,100,8287.615931
-316.460844,100,8300.213492
-315.387667,100,8306.253736
-311.156524,100,8321.329721
-313.911898,100,8334.445965
-311.683767,100,8341.788852
-312.409701,100,8348.51639
-68.772566,22,8351.716046
-311.519789,100,8357.669003
-312.078491,100,8364.588386
-318.613856,100,8370.134713
-309.807228,100,8386.946743
-77.856468,25,8389.079588
-313.323826,100,8398.769513
-311.802447,100,8455.1466
-108.467971,35,8459.671468
-310.617134,100,8475.432404
-310.307755,100,8483.299945
-309.557182,100,8497.945991
-309.100266,100,8506.619405
-311.416174,100,8514.900238
-311.78996,100,8522.177067
-313.357212,100,8535.75049
-312.87695,100,8542.686578
-313.266167,100,8548.99975
-311.063541,100,8556.203981
-310.467703,100,8563.591711
-109.944626,35,8566.10832
-311.993323,100,8573.777102
-319.249054,100,8580.871263
-315.325716,100,8586.268007
-68.8788,22,8587.722655
-314.751725,100,8593.30868
-310.424635,100,8599.875126
-314.775903,100,8612.798212
-313.672717,100,8625.964474
-313.600887,100,8634.697926
-311.223542,100,8642.025631
-315.435305,100,8650.018018
-139.886079,45,8655.517159
-315.074442,100,8661.281189
-148.489152,48,8665.870665
-313.228286,100,8676.853995
-78.049987,25,8678.954925
-311.430176,100,8685.806439
-309.226633,100,8696.268927
-161.794691,52,8703.433639
-62.529283,20,8705.09548
-309.595925,100,8720.400053
-137.777525,44,8723.469582
-312.678088,100,8730.102015
-314.188925,100,8736.498329
